Placement,Name,Country,Points,Wins,Losses,Ties,Record,OPW_Percent,OOPW_Percent,Deck
29,Daichi Shimada,JP,31,10,3,1,10 - 3 - 1,62.66,61.08,absol-megakangaskhan-mega
30,Yoshiyuki Arai,JP,31,10,3,1,10 - 3 - 1,62.64,58.43,dragapultdusknoir
31,Matt Chuang,US,31,10,3,1,10 - 3 - 1,62.63,60.4,dragapultdusknoir
32,Cristiano Castaneda,US,31,9,1,4,9 - 1 - 4,62.22,58.41,gardevoir
33,Anthony Rispoli,US,31,10,3,1,10 - 3 - 1,61.61,56.04,dragapultdusknoir
34,Cali White,CA,31,10,3,1,10 - 3 - 1,61.14,60.79,dragapultdusknoir
35,Jerry Sheng,US,31,10,3,1,10 - 3 - 1,60.97,59.47,dragapultdusknoir
36,Julius Kerkis,FI,31,10,3,1,10 - 3 - 1,60.52,57.36,dragapultdusknoir
37,Andrew Obtinalla,CA,31,9,1,4,9 - 1 - 4,60.06,58.28,dragapultcharizard
38,Ansh Kansara,CA,31,10,3,1,10 - 3 - 1,59.78,59.69,dragapultdusknoir
39,Raymond Long,CA,31,10,3,1,10 - 3 - 1,59.74,61.44,gardevoir
40,Ian Robb,US,31,10,3,1,10 - 3 - 1,59.5,59.26,gardevoirjellicent
41,Lucas Xing,CA,31,10,3,1,10 - 3 - 1,59.4,59.39,charizardpidgeot
42,Carter Malnaik,US,31,10,3,1,10 - 3 - 1,59.36,57.03,zoroark
43,Jesse Parker,US,31,10,3,1,10 - 3 - 1,58.29,56.97,iron-handsmagneton
44,Robert Rupert,US,31,10,3,1,10 - 3 - 1,58.23,56.75,charizardnoctowl
45,Arjun Khadse,US,31,10,3,1,10 - 3 - 1,58.21,57.72,gardevoir
46,Michael Jelderian,CA,31,10,3,1,10 - 3 - 1,57.74,55.5,dragapultdusknoir
47,Nicholas Uterano,US,31,10,3,1,10 - 3 - 1,56.36,58.58,dragapultdusknoir
48,Jack Moore,CA,31,10,3,1,10 - 3 - 1,56.08,62.35,gardevoir
49,Mike Pianka,US,31,10,3,1,10 - 3 - 1,55.31,55.19,charizardnoctowl
50,Justin Newdorf,US,30,9,2,3,9 - 2 - 3,70.03,60.05,gardevoir
51,Joeycosmo Lee,CA,30,10,4,0,10 - 4 - 0,67.65,61.59,charizardnoctowl
52,Julian Gort-Barry,CA,30,9,2,3,9 - 2 - 3,66.45,59.95,absol-megakangaskhan-mega
53,David Hendrickson,US,30,10,4,0,10 - 4 - 0,65.05,60.8,gardevoir
54,Yerco Valencia,CL,30,9,2,3,9 - 2 - 3,64.91,59.03,raging-boltogerpon
55,Ross Cawthon,US,30,10,4,0,10 - 4 - 0,63.29,57.0,ceruledge
56,Bodhi Robinson,US,30,9,2,3,9 - 2 - 3,62.95,58.12,gardevoirjellicent
57,Corey Blankenship,US,30,9,2,3,9 - 2 - 3,62.63,56.96,charizardpidgeot
58,Arman Sam,CA,30,10,4,0,10 - 4 - 0,61.39,60.13,gholdengolunatone
59,Dylan Kasturi,US,30,10,4,0,10 - 4 - 0,61.05,60.17,gholdengolunatone
60,Josh Lu,CA,30,9,2,3,9 - 2 - 3,61.04,58.11,dragapultdusknoir
61,Simon Trottier-Lacasse,CA,30,9,2,3,9 - 2 - 3,59.31,56.98,gholdengolunatone
62,Lucas Oldale,CA,30,10,4,0,10 - 4 - 0,59.09,58.14,gholdengolunatone
63,Alex Hamilton,US,30,9,2,3,9 - 2 - 3,57.42,57.95,dragapultdusknoir
64,ZHUOYUAN LI,CA,30,9,2,3,9 - 2 - 3,55.95,57.72,gholdengolunatone
65,Marco Cifuentes,CL,29,9,3,2,9 - 3 - 2,69.01,61.89,absol-megakangaskhan-mega
66,Andrew Zheng,US,29,9,3,2,9 - 3 - 2,64.22,60.88,gardevoir
67,Sebastián Iturra,CL,29,9,3,2,9 - 3 - 2,64.16,60.2,gardevoir
68,Thomas Dewsbury,US,29,9,3,2,9 - 3 - 2,63.2,58.78,gholdengolunatone
69,Saumit Kukkadapu,US,29,9,3,2,9 - 3 - 2,61.45,58.35,dragapultdusknoir
70,Kenneth Xuan,US,29,9,3,2,9 - 3 - 2,60.51,58.49,pidgeot
71,Rohit Potti,US,29,9,3,2,9 - 3 - 2,59.92,57.18,dragapultdusknoir
72,Jack Saunders,CA,29,9,3,2,9 - 3 - 2,59.89,55.15,gholdengo
73,Trevore Read,CA,29,9,3,2,9 - 3 - 2,59.36,56.37,gardevoirjellicent
74,Heming Wang,CA,29,8,1,5,8 - 1 - 5,58.61,60.06,charizardpidgeot
75,Mehdi Hafi,FR,29,9,3,2,9 - 3 - 2,58.04,56.64,crustle
76,Rheal Chartier,CA,29,9,3,2,9 - 3 - 2,57.27,55.13,gholdengolunatone
77,Nico Gist,US,29,9,3,2,9 - 3 - 2,57.08,57.72,charizardnoctowl
78,Allan Xu,CA,29,9,3,2,9 - 3 - 2,56.85,55.11,gardevoir
79,Parker Fleck,CA,29,9,3,2,9 - 3 - 2,56.81,57.62,gardevoir
80,Ethan Wray,US,29,9,3,2,9 - 3 - 2,56.33,56.76,gholdengolunatone
81,Joseph Nawal,US,29,9,3,2,9 - 3 - 2,55.72,55.59,charizardnoctowl
82,Kieran McNair-Glover,CA,29,9,3,2,9 - 3 - 2,54.97,55.31,gardevoirjellicent
83,Noah Sakadjian,US,28,8,2,4,8 - 2 - 4,66.39,59.28,absol-megakangaskhan-mega
84,Rahul Reddy,US,28,9,4,1,9 - 4 - 1,66.07,58.82,noctowlogerpon-wellspring
85,Jon Eng,US,28,8,2,4,8 - 2 - 4,64.33,60.07,gardevoir
86,Andrew Hedrick,US,28,9,4,1,9 - 4 - 1,64.12,61.4,gholdengolunatone
87,Carson Washer,US,28,9,4,1,9 - 4 - 1,63.93,57.51,dragapultdusknoir
88,Joshua Frink,US,28,9,4,1,9 - 4 - 1,63.72,58.25,gholdengolunatone
89,Simon Feng,CA,28,9,4,1,9 - 4 - 1,63.39,57.12,dragapultdusknoir
90,Chris Brewer,US,28,9,4,1,9 - 4 - 1,63.33,58.92,gardevoir
91,Anthony Guevara,US,28,8,2,4,8 - 2 - 4,62.78,59.74,charizardnoctowl
92,Louis Kondraski,CA,28,8,2,4,8 - 2 - 4,62.63,56.42,charizardnoctowl
93,Chris Franco,US,28,8,2,4,8 - 2 - 4,62.34,57.16,gardevoir
94,Sascha Rogge,CA,28,8,2,4,8 - 2 - 4,62.31,59.8,zoroark
95,Nicholas Germain,US,28,9,4,1,9 - 4 - 1,61.99,60.11,dragapultdusknoir
96,Grant Manley,US,28,8,2,4,8 - 2 - 4,61.8,55.53,charizardpidgeot
97,miloslav posledni,CZ,28,9,4,1,9 - 4 - 1,61.47,58.83,gholdengolunatone
98,Josh Maline,US,28,9,4,1,9 - 4 - 1,61.16,58.36,gholdengolunatone
99,Genessa Benton,US,28,9,4,1,9 - 4 - 1,61.01,56.66,gardevoir
100,Azul Garcia Griego,US,28,8,2,4,8 - 2 - 4,60.85,58.47,charizardpidgeot
101,William Hwang,US,28,9,4,1,9 - 4 - 1,60.22,58.01,dragapultcharizard
102,Riley Hulbert,US,28,8,2,4,8 - 2 - 4,60.14,56.54,gardevoir
103,Rajveer Singh,US,28,9,4,1,9 - 4 - 1,60.11,58.21,grimmsnarlfroslass
104,Theeravich Trakulkajornsak,CA,28,9,4,1,9 - 4 - 1,60.01,55.79,gardevoir
105,Kyle Best,UK,28,9,4,1,9 - 4 - 1,59.81,58.51,charizardpidgeot
106,Evan Hoste,CA,28,9,4,1,9 - 4 - 1,59.38,56.38,gholdengojoltik
107,Ethan Lin,US,28,9,4,1,9 - 4 - 1,58.86,55.59,dragapultdusknoir
108,Jared Woitalla,US,28,9,4,1,9 - 4 - 1,58.65,55.72,gardevoir
109,Fernando Cifuentes,CL,28,9,4,1,9 - 4 - 1,58.61,56.99,absol-megakangaskhan-mega
110,Nathan Hargreaves,UK,28,9,4,1,9 - 4 - 1,58.38,57.25,flareonnoctowl
111,Ellie Davis,US,28,8,2,4,8 - 2 - 4,58.27,59.64,grimmsnarlfroslass
112,Clayton Brossett,US,28,8,2,4,8 - 2 - 4,58.15,59.46,grimmsnarlfroslass
113,Elvin Tse,CA,28,9,4,1,9 - 4 - 1,58.13,57.26,joltikpikachu
114,Jacob McCool,US,28,9,4,1,9 - 4 - 1,57.9,55.0,dragapultdusknoir
115,Jayson Cha,CA,28,9,4,1,9 - 4 - 1,57.8,54.44,dragapultcharizard
116,Scott Knell,US,28,9,4,1,9 - 4 - 1,57.63,57.21,froslassmunkidori
117,Leo Hendrickx,CA,28,9,4,1,9 - 4 - 1,57.46,59.06,dragapultcharizard
118,Mike Ellis,UK,28,9,4,1,9 - 4 - 1,57.46,54.66,charizardpidgeot
119,Richard Tian,CA,28,8,2,4,8 - 2 - 4,56.89,57.17,dragapultcharizard
120,Nicholas Cucinelli,US,28,9,4,1,9 - 4 - 1,56.68,56.37,kangaskhan-megabouffalant
121,Zack Horn,US,28,9,4,1,9 - 4 - 1,56.48,54.79,gholdengolunatone
122,jacob eye,US,28,9,4,1,9 - 4 - 1,56.44,55.23,gholdengolunatone
123,Trenton Ross,US,28,9,4,1,9 - 4 - 1,56.39,56.2,charizardnoctowl
124,Chad L'Archeveque,CA,28,9,4,1,9 - 4 - 1,56.34,57.06,noctowlogerpon-wellspring
125,Ryan Miller,US,28,9,4,1,9 - 4 - 1,56.23,57.13,charizardnoctowl
126,Evan Zhu,CA,28,8,2,4,8 - 2 - 4,55.86,61.23,gardevoir
127,Emily Forman,US,28,9,4,1,9 - 4 - 1,55.78,57.8,raging-boltogerpon
128,Tristan Greening,CA,28,9,4,1,9 - 4 - 1,55.74,55.58,charizardnoctowl
129,Darian Kreiser,US,28,9,4,1,9 - 4 - 1,55.73,55.72,absol-megakangaskhan-mega
130,James Chow,CA,28,9,4,1,9 - 4 - 1,55.68,60.15,alakazamdudunsparce
131,Bryce Harris,US,28,9,4,1,9 - 4 - 1,55.25,54.36,garchomp
132,Daniel Abramovici,BR,28,9,4,1,9 - 4 - 1,54.85,56.24,kangaskhan-megabouffalant
133,Zachary Fortier,CA,28,9,4,1,9 - 4 - 1,53.95,55.71,dipplinthwackey
134,Patrina Lau,CA,28,9,4,1,9 - 4 - 1,53.93,55.56,ceruledge
135,Rj Squires,US,28,9,4,1,9 - 4 - 1,53.72,56.61,dragapultdusknoir
136,Henry Thompson,US,28,9,4,1,9 - 4 - 1,53.64,55.79,dragapultdusknoir
137,Carlos Artze,US,28,9,4,1,9 - 4 - 1,53.37,58.25,dragapultdusknoir
138,Tyler Price,US,28,9,4,1,9 - 4 - 1,52.91,53.44,dragapultdusknoir
139,Victor De Velasco,MX,28,9,4,1,9 - 4 - 1,49.64,51.38,gholdengolunatone
140,Xavier Kerr,CA,27,8,3,3,8 - 3 - 3,65.5,57.73,charizardnoctowl
141,Aushton Kelusky,CA,27,9,5,0,9 - 5 - 0,64.67,60.26,slowking
142,Matthew Hill-Kent,CA,27,8,3,3,8 - 3 - 3,63.94,56.81,charizardnoctowl
143,Zach Cohen,US,27,9,5,0,9 - 5 - 0,62.36,62.76,gholdengolunatone
144,Caleb Rogerson,US,27,9,5,0,9 - 5 - 0,62.12,58.58,gholdengolunatone
145,Cameron Cloughley,CA,27,8,3,3,8 - 3 - 3,61.93,57.8,gardevoir
146,Vance Kelley,US,27,8,3,3,8 - 3 - 3,61.45,58.52,gardevoirjellicent
147,Aaron Rozbicki,CA,27,8,3,3,8 - 3 - 3,61.39,58.41,gholdengolunatone
148,Rowan Stavenow,CA,27,8,3,3,8 - 3 - 3,61.1,56.85,gardevoirjellicent
149,Drew Allen,CA,27,9,5,0,9 - 5 - 0,60.96,60.21,gholdengolunatone
150,Fernando Lopez,CL,27,8,3,3,8 - 3 - 3,60.65,57.76,raging-boltogerpon
151,William Crawford,CA,27,8,3,3,8 - 3 - 3,60.31,59.41,charizardnoctowl
152,Teegan Hall,US,27,8,3,3,8 - 3 - 3,60.3,58.94,zoroark
153,JW Kriewall,US,27,9,5,0,9 - 5 - 0,58.93,56.1,gardevoir
154,Logan Jayson,US,27,8,3,3,8 - 3 - 3,58.72,57.04,charizardnoctowl
155,Aidan Suk,CA,27,8,3,3,8 - 3 - 3,58.04,59.95,grimmsnarlfroslass
156,Austin Ellis,CA,27,8,3,3,8 - 3 - 3,57.91,55.92,gardevoir
157,Jie Ran,US,27,8,3,3,8 - 3 - 3,57.5,56.21,grimmsnarlfroslass
158,Nathan Ginsburg,US,27,8,3,3,8 - 3 - 3,57.21,57.89,gholdengolunatone
159,Rose Little,US,27,8,3,3,8 - 3 - 3,56.93,56.79,charizardnoctowl
160,Jared De Guzman,CA,27,8,3,3,8 - 3 - 3,56.22,56.62,gholdengolunatone
161,Scott Patchett,CA,27,8,3,3,8 - 3 - 3,55.91,57.77,absol-megakangaskhan-mega
162,William Au,US,27,9,5,0,9 - 5 - 0,55.85,57.6,dragapultdusknoir
163,Lucas Sforza,CA,27,8,3,3,8 - 3 - 3,55.29,55.8,dragapultcharizard
164,Dominic Viola,US,27,8,3,3,8 - 3 - 3,55.2,57.02,dragapultcharizard
165,Calvin Tathanhlong,CA,27,8,3,3,8 - 3 - 3,54.95,56.49,gardevoirjellicent
166,Ricky Yuen,CA,27,8,3,3,8 - 3 - 3,54.64,57.23,dragapultdusknoir
167,Jackson Rowley,US,27,8,3,3,8 - 3 - 3,51.07,55.71,zoroark
168,Connor Chiappetta,US,26,8,4,2,8 - 4 - 2,63.64,59.55,charizardpidgeot
169,Felix Wong,CA,26,8,4,2,8 - 4 - 2,63.03,59.2,gardevoirjellicent
170,Joey Gaffney,CA,26,7,2,5,7 - 2 - 5,61.85,57.91,gardevoir
171,Sam Rindal,US,26,8,4,2,8 - 4 - 2,61.44,57.04,flareonnoctowl
172,Dylan Higgins,US,26,7,2,5,7 - 2 - 5,60.58,60.95,charizardpidgeot
173,Kamil Colatosti,CA,26,8,4,2,8 - 4 - 2,60.32,57.04,gardevoir
174,Daniel Lin,CA,26,8,4,2,8 - 4 - 2,59.67,58.03,gardevoir
175,Geneses Pabuna,CA,26,8,4,2,8 - 4 - 2,59.39,55.33,charizardnoctowl
176,Keirnan Eadie,CA,26,8,4,2,8 - 4 - 2,59.06,57.77,ceruledge
177,Brooke English,US,26,8,4,2,8 - 4 - 2,58.61,55.5,dragapultdusknoir
178,Maddox Corcoran,US,26,8,4,2,8 - 4 - 2,58.55,56.85,gholdengolunatone
179,Justin Brothers,US,26,8,4,2,8 - 4 - 2,58.16,57.85,alakazamdudunsparce
180,Wayne Robotin Jr,US,26,8,4,2,8 - 4 - 2,58.1,59.44,gardevoirjellicent
181,Andrew Mallach,US,26,8,4,2,8 - 4 - 2,57.43,56.18,dragapultdusknoir
182,Kristopher Kemp,US,26,8,4,2,8 - 4 - 2,57.37,55.79,charizardnoctowl
183,Calvin Jian,US,26,8,4,2,8 - 4 - 2,57.14,54.88,dragapultdusknoir
184,Hunter Slack,US,26,8,4,2,8 - 4 - 2,56.76,55.76,gholdengolunatone
185,Vincent Owen,US,26,8,4,2,8 - 4 - 2,56.01,57.61,gholdengolunatone
186,Leonardo Guevarra,CA,26,8,4,2,8 - 4 - 2,55.82,56.33,alakazamdudunsparce
187,June Oster,US,26,8,4,2,8 - 4 - 2,55.66,55.07,dragapultdusknoir
188,Simon Luong,CA,26,8,4,2,8 - 4 - 2,54.31,55.84,gholdengolunatone
189,Jalen Jones,US,26,8,4,2,8 - 4 - 2,54.21,55.4,grimmsnarlfroslass
190,Nick Dela Torre,US,26,7,2,5,7 - 2 - 5,53.58,54.75,dragapultdusknoir
191,Kenneth Springett,US,26,8,4,2,8 - 4 - 2,53.44,53.57,dragapultdusknoir
192,Justin Tse,CA,26,8,4,2,8 - 4 - 2,52.93,55.0,gardevoir
193,Tony Trang,CA,26,8,4,2,8 - 4 - 2,52.61,54.44,gardevoir
194,Nikkolas Paserba,US,26,8,4,2,8 - 4 - 2,51.47,55.55,dragapultdusknoir
195,Matthew Dwyer,US,26,8,4,2,8 - 4 - 2,49.0,54.48,gholdengolunatone
196,Steven Lavoie,US,25,8,5,1,8 - 5 - 1,65.44,60.84,charizardpidgeot
197,Loic Prudhomme,CA,25,8,5,1,8 - 5 - 1,64.05,59.3,charizardnoctowl
198,Tyler Seal,CA,25,8,5,1,8 - 5 - 1,62.18,56.08,gholdengolunatone
199,Michael Hancock,CA,25,8,5,1,8 - 5 - 1,61.52,58.48,charizardnoctowl
200,Zackary Prpic,CA,25,7,3,4,7 - 3 - 4,61.35,59.02,gholdengolunatone
201,Samuel Liggett,US,25,7,3,4,7 - 3 - 4,60.82,57.94,dragapultdusknoir
202,Xiang He,CA,25,8,5,1,8 - 5 - 1,60.5,57.54,alakazamdudunsparce
203,Nolan Randall,CA,25,8,5,1,8 - 5 - 1,60.2,59.37,dragapultdusknoir
204,Walter Huynh,CA,25,7,3,4,7 - 3 - 4,60.2,55.61,gholdengolunatone
205,Richard Yannow,US,25,7,3,4,7 - 3 - 4,60.08,58.7,gardevoir
206,Benjamin Chang,US,25,8,5,1,8 - 5 - 1,59.95,60.46,gardevoirjellicent
207,Satoshi Matsui,US,25,8,5,1,8 - 5 - 1,59.95,58.02,dragapultdusknoir
208,Sergio Rodriguez,CA,25,7,3,4,7 - 3 - 4,59.95,56.12,charizardpidgeot
209,Destynn Hatcher,US,25,7,3,4,7 - 3 - 4,59.78,56.68,charizardnoctowl
210,Kevin Gauthier,CA,25,8,5,1,8 - 5 - 1,59.49,57.05,gholdengolunatone
211,Ira Stone,US,25,8,5,1,8 - 5 - 1,59.46,58.08,charizardnoctowl
212,Benny Billinger,CA,25,8,5,1,8 - 5 - 1,59.44,57.41,gholdengolunatone
213,James Ryan De Vera,US,25,7,3,4,7 - 3 - 4,59.44,55.27,gardevoirjellicent
214,Elijah Miller,US,25,8,5,1,8 - 5 - 1,59.3,56.14,dragapultdusknoir
215,Sebastian Eaton,US,25,7,3,4,7 - 3 - 4,59.23,56.41,gardevoirjellicent
216,Austin Charles,US,25,8,5,1,8 - 5 - 1,59.23,55.26,gholdengolunatone
217,joshua titus,CA,25,8,5,1,8 - 5 - 1,59.18,57.52,dragapultdusknoir
218,Ben Stephenson,CA,25,8,5,1,8 - 5 - 1,58.33,57.9,charizardnoctowl
219,Charles Holland,US,25,7,3,4,7 - 3 - 4,58.31,54.56,charizardnoctowl
220,Kaiming Wang,CA,25,8,5,1,8 - 5 - 1,58.27,56.79,dragapultdusknoir
221,Victor Walnyckyj,CA,25,8,5,1,8 - 5 - 1,58.08,57.28,greninja
222,Owen Rhoads,US,25,8,5,1,8 - 5 - 1,58.02,53.28,gholdengolunatone
223,Sebastian Alloway,CA,25,8,5,1,8 - 5 - 1,57.99,56.52,gholdengolunatone
224,Yosha Riley,US,25,8,5,1,8 - 5 - 1,57.97,56.06,gardevoirjellicent
225,Jake Nowacki,US,25,7,3,4,7 - 3 - 4,57.8,58.07,dragapultdusknoir
226,Bradley Lippert,US,25,8,5,1,8 - 5 - 1,57.72,53.67,gholdengolunatone
227,Ryan Hoang,CA,25,7,3,4,7 - 3 - 4,57.7,57.3,zoroark
228,Evan Smith,US,25,8,5,1,8 - 5 - 1,57.55,55.91,gholdengolunatone
229,Ryleigh Patterson,US,25,8,5,1,8 - 5 - 1,57.46,54.46,charizardnoctowl
230,Bryan Ortiz,CA,25,7,3,4,7 - 3 - 4,57.39,57.42,dragapultdusknoir
231,Nate Joseph,CA,25,8,5,1,8 - 5 - 1,57.37,57.72,gholdengolunatone
232,David Hudson,CA,25,7,3,4,7 - 3 - 4,57.33,54.81,raging-boltogerpon
233,Ryan Pangborn,CA,25,8,5,1,8 - 5 - 1,57.27,54.83,gholdengolunatone
234,Wilson Wong,CA,25,8,5,1,8 - 5 - 1,57.12,54.36,charizardnoctowl
235,Marco Mieses,US,25,8,5,1,8 - 5 - 1,56.9,57.37,dragapultdusknoir
236,Abigail Klein,US,25,8,5,1,8 - 5 - 1,56.88,55.84,gholdengolunatone
237,Rafal Gladysz,US,25,8,5,1,8 - 5 - 1,56.82,58.04,charizardnoctowl
238,George Chen,CA,25,8,5,1,8 - 5 - 1,56.08,55.28,gholdengolunatone
239,Waley Liu,US,25,7,3,4,7 - 3 - 4,56.04,58.03,gholdengolunatone
240,Owen Hills,CA,25,7,3,4,7 - 3 - 4,56.0,56.35,kangaskhan-megabouffalant
241,Tom Hellkamp,US,25,8,5,1,8 - 5 - 1,55.29,57.68,alakazamdudunsparce
242,Matthew Bullock,US,25,8,5,1,8 - 5 - 1,55.14,57.63,conkeldurr
243,Justin Fedorenka,CA,25,7,3,4,7 - 3 - 4,54.89,57.36,dragapultdusknoir
244,Jesse Gaynor,US,25,8,5,1,8 - 5 - 1,54.15,55.81,gholdengolunatone
245,Michelle Lam,CA,25,8,5,1,8 - 5 - 1,54.06,56.21,lopunny-megadusknoir
246,Grayson Jones,US,25,8,5,1,8 - 5 - 1,54.0,54.87,gholdengolunatone
247,David Lee,CA,25,8,5,1,8 - 5 - 1,53.65,57.18,charizardpidgeot
248,Erick Perez,US,25,8,5,1,8 - 5 - 1,53.65,57.29,flareonnoctowl
249,Dekari Iverson,US,25,8,5,1,8 - 5 - 1,53.64,53.95,joltikpikachu
250,Mitchel Silva,US,25,8,5,1,8 - 5 - 1,53.23,55.09,dragapultdusknoir
251,Joshua Pyle-Carter,CA,25,8,5,1,8 - 5 - 1,53.02,55.54,ceruledge
252,Canaan Mellard,US,25,8,5,1,8 - 5 - 1,52.92,57.29,gholdengolunatone
253,Logan Hendrickson,US,25,8,5,1,8 - 5 - 1,52.81,56.54,venusaur-mega
254,Ian Hunter,US,25,8,5,1,8 - 5 - 1,52.46,54.02,charizardnoctowl
255,Jonathan Herrera,US,25,8,5,1,8 - 5 - 1,52.28,53.96,charizardpidgeot
256,Taha Malik,US,25,7,3,4,7 - 3 - 4,51.85,54.32,ceruledge
257,Harry Silverman,US,25,8,5,1,8 - 5 - 1,51.33,53.14,gholdengolunatone
258,Vincent Vuong,CA,25,7,3,4,7 - 3 - 4,49.6,52.89,joltikpikachu
259,Gwen Tran,US,24,7,4,3,7 - 4 - 3,64.63,60.63,gardevoir
260,Morgan Abreu,US,24,7,4,3,7 - 4 - 3,63.99,58.99,absol-megakangaskhan-mega
261,Nick Mojica,US,24,7,4,3,7 - 4 - 3,61.48,58.66,crustle
262,Jeffrey Chau,CA,24,7,4,3,7 - 4 - 3,61.28,56.28,gholdengolunatone
263,Jayden Chow,CA,24,7,4,3,7 - 4 - 3,60.84,57.52,gholdengolunatone
264,Darien Krys,CA,24,7,4,3,7 - 4 - 3,60.71,54.04,gardevoir
265,Suhaan Singh,CA,24,7,4,3,7 - 4 - 3,60.33,59.05,grimmsnarlfroslass
266,alexys rodriguez,US,24,6,2,6,6 - 2 - 6,60.25,56.31,gardevoir
267,Megan Szekely,UK,24,7,4,3,7 - 4 - 3,59.82,57.5,gholdengolunatone
268,Cyrus McCane,US,24,7,4,3,7 - 4 - 3,58.74,55.36,gardevoir
269,Joshua Wagstaff,CA,24,7,4,3,7 - 4 - 3,57.4,56.39,charizardnoctowl
270,James Balasiak,CA,24,7,4,3,7 - 4 - 3,57.33,57.58,gholdengolunatone
271,Alex Hoffmann,US,24,7,4,3,7 - 4 - 3,57.27,56.84,charizardnoctowl
272,Gabe Vetere,US,24,7,4,3,7 - 4 - 3,56.74,57.61,gardevoir
273,Charles Stephenson,US,24,7,4,3,7 - 4 - 3,56.67,53.84,gholdengolunatone
274,Keva Bui,US,24,7,4,3,7 - 4 - 3,56.57,55.2,zoroark
275,Brandon Salazar,US,24,7,4,3,7 - 4 - 3,56.43,55.82,grimmsnarlfroslass
276,Emil Redlinger,US,24,7,4,3,7 - 4 - 3,56.31,58.13,gardevoir
277,Alek Estrada,US,24,7,4,3,7 - 4 - 3,56.11,55.96,charizardnoctowl
278,Fausto Guerrero,MX,24,6,2,6,6 - 2 - 6,55.87,56.17,ceruledge
279,Yanyan Law,CA,24,7,4,3,7 - 4 - 3,55.17,60.02,gholdengolunatone
280,Ben Kim,US,24,7,4,3,7 - 4 - 3,55.03,54.83,gardevoir
281,Sky DelaCruz,US,24,7,4,3,7 - 4 - 3,54.99,57.28,gardevoir
282,Anthony Bruno,US,24,7,4,3,7 - 4 - 3,54.76,56.32,zoroark
283,Reva James Pabayo-Cruz,CA,24,7,4,3,7 - 4 - 3,54.53,56.91,charizardnoctowl
284,Luke Ayla Mallia,MT,24,7,4,3,7 - 4 - 3,54.44,52.68,gardevoir
285,Kyser Rodriguez,US,24,7,4,3,7 - 4 - 3,54.18,55.94,charizardnoctowl
286,Tony Herrera,US,24,7,4,3,7 - 4 - 3,53.05,51.76,charizardnoctowl
287,Jonathan Rafael,CA,24,7,4,3,7 - 4 - 3,52.28,55.23,dragapultdusknoir
288,Benjamin Cusack,CA,24,7,4,3,7 - 4 - 3,50.75,60.41,charizardnoctowl
